TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
BaseVAVReheatCoil-5,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,6469.575,6469.575,0.32336,-99996,-99996,,,
BaseVAVReheatCoil-6,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,5963.188,5963.188,0.29805,-99996,-99996,,,
BaseVAVReheatCoil-7,BaseVAVBox CoilHtg-4,HotWater,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,47327.662,47327.662,2.36548,-99996,-99996,,,
BaseVAVReheatCoil-8,BaseVAVBox CoilHtg-5,HotWater,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,21198.475,21198.475,1.05952,-99996,-99996,,,
BaseVAVReheatCoil-9,BaseVAVBox CoilHtg-6,HotWater,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,16249.962,16249.962,0.81219,-99996,-99996,,,
BaseVAVReheatCoil-10,BaseVAVBox CoilHtg-7,HotWater,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,8173.262,8173.262,0.40851,-99996,-99996,,,
BaseVAVReheatCoil-11,BaseVAVBox CoilHtg-8,HotWater,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,22322.562,22322.562,1.1157,-99996,-99996,,,
BaseVAVReheatCoil-12,BaseVAVBox CoilHtg-9,HotWater,BaseAirSys5,FrontStairsFlr1 Thermal Zone,5251.325,5251.325,0.26247,-99996,-99996,,,
BaseVAVReheatCoil-16,BaseVAVBox CoilHtg-10,HotWater,BaseAirSys5,FrontStorageFlr1 Thermal Zone,2905.512,2905.512,0.14522,-99996,-99996,,,
BaseVAVReheatCoil-20,BaseVAVBox CoilHtg-11,HotWater,BaseAirSys5,RearStairsFlr1 Thermal Zone,6040.4,6040.4,0.30191,-99996,-99996,,,
BaseVAVReheatCoil-24,BaseVAVBox CoilHtg-12,HotWater,BaseAirSys5,RearStorageFlr1 Thermal Zone,6043.663,6043.663,0.30207,-99996,-99996,,,
BaseVAVReheatCoil-28,BaseVAVBox CoilHtg-13,HotWater,BaseAirSys5,RestroomFlr1 Thermal Zone,6195.35,6195.35,0.30965,-99996,-99996,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-2,CorridorFlr2 Thermal Zone,17197.713,17197.713,0.85956,-99996,-99996,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,2997.325,2997.325,0.14981,-99996,-99996,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,1927.962,1927.962,0.09636,-99996,-99996,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,3634.588,3634.588,0.18166,-99996,-99996,,,
